"","Year","MOK"
"1",1901,38
"2",1902,37
"3",1903,43
"4",1904,38
"5",1905,41
"6",1906,45
"7",1907,39
"8",1908,42
"9",1909,33
"10",1910,33
"11",1911,37
"12",1912,39
"13",1913,33
"14",1914,35
"15",1915,46
"16",1916,33
"17",1917,31
"18",1918,11
"19",1919,34
"20",1920,34
"21",1921,33
"22",1922,31
"23",1923,42
"24",1924,33
"25",1925,27
"26",1926,37
"27",1927,27
"28",1928,34
"29",1929,29
"30",1930,39
"31",1931,35
"32",1932,33
"33",1933,22
"34",1934,39
"35",1935,43
"36",1936,19
"37",1937,35
"38",1938,26
"39",1939,36
"40",1940,45
"41",1941,23
"42",1942,41
"43",1943,29
"44",1944,34
"45",1945,36
"46",1946,29
"47",1947,34
"48",1948,42
"49",1949,23
"50",1950,27
"51",1951,31
"52",1952,20
"53",1953,38
"54",1954,31
"55",1955,29
"56",1956,21
"57",1957,32
"58",1958,45
"59",1959,31
"60",1960,14
"61",1961,18
"62",1962,17
"63",1963,31
"64",1964,37
"65",1965,26
"66",1966,31
"67",1967,40
"68",1968,39
"69",1969,17
"70",1970,26
"71",1971,27
"72",1972,48
"73",1973,36
"74",1974,23
"75",1975,33
"76",1976,30
"77",1977,29
"78",1978,29
"79",1979,43
"80",1980,34
"81",1981,30
"82",1982,30
"83",1983,43
"84",1984,32
"85",1985,24
"86",1986,43
"87",1987,32
"88",1988,33
"89",1989,35
"90",1990,18
"91",1991,33
"92",1992,36
"93",1993,34
"94",1994,28
"95",1995,41
"96",1996,40
"97",1997,43
"98",1998,34
"99",1999,22
"100",2000,32
"101",2001,26
"102",2002,40
"103",2003,44
"104",2004,34
"105",2005,38
"106",2006,26
"107",2007,28
"108",2008,31
"109",2009,23
"110",2010,31
"111",2011,29
"112",2012,36
"113",2013,32
"114",2014,37
"115",2015,36
"116",2016,39
"117",2017,30
"118",2018,29
"119",2019,39
"120",2020,32
"121",2021,34
"122",2022,29
"123",2023,39
"124",2024,30
